epoch,train_loss,train_acc,val_loss,val_acc
1,5.0216,0.0049,4.6942,0.0147
2,4.8235,0.0069,4.6559,0.0186
3,4.7432,0.0088,4.654,0.0196
4,4.7582,0.0137,4.6472,0.0343
5,4.7712,0.0147,4.5847,0.0382
6,4.7117,0.0108,4.563,0.0304
7,4.6934,0.0118,4.5666,0.0343
8,4.7211,0.0127,4.5945,0.0382
9,4.6718,0.0098,4.5288,0.0412
10,4.72,0.0069,4.5357,0.0275
11,4.7023,0.0196,4.5392,0.0471
12,4.6375,0.0255,4.4991,0.0373
13,4.6371,0.0235,4.5187,0.0431
14,4.6452,0.0147,4.4576,0.0363
15,4.6539,0.0216,4.5307,0.0539
16,4.658,0.0206,4.5771,0.0314
17,4.6495,0.0294,4.4369,0.048
18,4.6349,0.0206,4.4604,0.0539
19,4.6111,0.0265,4.4474,0.048
20,4.6006,0.0294,4.383,0.0627
