epoch,train_loss,train_acc,val_loss,val_acc
1,4.7265,0.0353,3.9681,0.1451
2,3.657,0.248,3.0894,0.4578
3,2.955,0.4873,2.462,0.6167
4,2.3434,0.6569,2.0176,0.6735
5,1.9724,0.7314,1.6744,0.7451
6,1.4625,0.7186,0.7999,0.8118
7,0.6156,0.8843,0.5027,0.901
8,0.3914,0.9324,0.4196,0.9167
9,0.2996,0.9441,0.3778,0.9225
10,0.2672,0.951,0.3824,0.902
11,0.2358,0.9549,0.3263,0.9186
12,0.1868,0.9618,0.3222,0.9098
13,0.1821,0.9657,0.3177,0.9216
14,0.1726,0.9608,0.3333,0.9127
15,0.1376,0.9686,0.3396,0.9118
16,0.1804,0.9539,0.3839,0.9
17,0.2054,0.948,0.3485,0.9088
18,0.2084,0.948,0.4026,0.8931
19,0.2046,0.95,0.392,0.8922
20,0.1407,0.9647,0.4013,0.8971
