epoch,train_loss,train_acc,val_loss,val_acc
1,4.6258,0.0333,4.1585,0.2363
2,4.0342,0.2461,3.6596,0.5
3,3.5897,0.4637,3.228,0.6431
4,3.1764,0.6078,2.8594,0.6853
5,2.8132,0.6922,2.5295,0.7382
6,2.2587,0.6451,1.3609,0.7971
7,1.3099,0.8431,0.9245,0.8667
8,0.8881,0.8902,0.6707,0.8863
9,0.5589,0.9392,0.5114,0.9225
10,0.4101,0.9431,0.4189,0.9333
11,0.3301,0.949,0.3705,0.9235
12,0.2514,0.949,0.3397,0.9402
13,0.2204,0.9608,0.3354,0.9284
14,0.1677,0.9725,0.3067,0.9451
15,0.1713,0.9647,0.2928,0.9353
16,0.171,0.9647,0.2889,0.948
17,0.1618,0.9686,0.2995,0.9245
18,0.1159,0.9745,0.2886,0.9353
19,0.1394,0.9676,0.2843,0.9353
20,0.138,0.9647,0.2942,0.9333
