epoch,train_loss,train_acc,val_loss,val_acc
1,4.6648,0.0539,3.9386,0.1676
2,3.646,0.2422,3.0623,0.4725
3,2.893,0.4971,2.4218,0.6235
4,2.3165,0.6549,1.9807,0.6971
5,1.9082,0.7353,1.6521,0.7618
6,1.4599,0.6676,0.8011,0.7961
7,0.6041,0.8667,0.4985,0.8833
8,0.4265,0.9127,0.5227,0.8706
9,0.3508,0.9196,0.4412,0.898
10,0.2829,0.9314,0.4294,0.8843
11,0.2709,0.9304,0.4583,0.8804
12,0.3053,0.9304,0.4283,0.8853
13,0.3021,0.9255,0.5441,0.8529
14,0.2991,0.9225,0.4789,0.8706
15,0.2875,0.9333,0.5491,0.8569
16,0.2787,0.9294,0.5285,0.8539
17,0.2923,0.9275,0.5312,0.8686
18,0.2218,0.9451,0.429,0.8863
19,0.2829,0.9304,0.4967,0.8755
20,0.2436,0.9402,0.4126,0.8814
