epoch,train_loss,train_acc,val_loss,val_acc
1,4.6835,0.0461,3.9903,0.1382
2,3.6659,0.2539,3.0943,0.4441
3,2.9436,0.4725,2.4811,0.5745
4,2.4125,0.6186,2.0171,0.6735
5,1.9537,0.7216,1.6741,0.751
6,1.5223,0.7118,0.8975,0.8196
7,0.8043,0.8598,0.6064,0.8873
8,0.494,0.9157,0.4748,0.9127
9,0.3445,0.9461,0.4516,0.902
10,0.3184,0.9324,0.3908,0.9196
11,0.2334,0.9657,0.3773,0.9127
12,0.2179,0.9569,0.3341,0.9275
13,0.1855,0.9647,0.3398,0.9176
14,0.1992,0.9618,0.3349,0.9235
15,0.1496,0.9716,0.3313,0.9167
16,0.1722,0.9647,0.3052,0.9265
17,0.111,0.9775,0.2777,0.9431
18,0.1594,0.9618,0.2982,0.9245
19,0.1375,0.9696,0.3178,0.9255
20,0.1341,0.9745,0.3237,0.9235
